YEAR,MONTH,DATE,RIVER FLOW,EVAPORATION,RAINFALL
1983,7,1,-1,0.3219,2.48
1983,7,2,-1,0.1744,0.972
1983,7,3,-1,0.1744,7.912
1983,7,4,-1,0.1744,2.91
1983,7,5,-1,0.1744,1.392
1983,7,6,-1,0.1744,0.45
1983,7,7,-1,0.1744,0.234
1983,7,8,-1,0.1744,9.548
1983,7,9,-1,0.1744,1.272
1983,7,10,-1,0.1744,1.785
1983,7,11,-1,0.1744,0.694
1983,7,12,43.21,0.1744,47.696
1983,7,13,52.18,0.1744,3.927
1983,7,14,9.38,0.1744,1.507
1983,7,15,6.53,0.1744,0.46
1983,7,16,6.2,0.1744,6.921
1983,7,17,6.28,0.1744,11.728
1983,7,18,8.52,0.1744,33.235
1983,7,19,6.28,0.1744,20.295
1983,7,20,21.81,0.1744,10.109
1983,7,21,15.47,0.1744,1.608
1983,7,22,8.83,0.1744,0.2
1983,7,23,6.75,0.1744,0.052
1983,7,24,6.08,0.1744,7.528
1983,7,25,50.9,0.1744,25.971
1983,7,26,15.9,0.1744,10.943
1983,7,27,12.6,0.1744,3.659
1983,7,28,8.83,0.1744,0
1983,7,29,6.61,0.1744,15.228
1983,7,30,8.81,0.1163,0.758
1983,7,31,7.95,0.1163,30.659
1983,8,1,18.51,0.1163,3.813
1983,8,2,12.14,0.1163,6.45
1983,8,3,9.94,0.1163,0
1983,8,4,8.86,0.1163,0
1983,8,5,8.56,0.1163,0
1983,8,6,6.18,0.1163,0.05
1983,8,7,6.11,0.1163,31.648
1983,8,8,9.2,0.1163,0.33
1983,8,9,16.24,0.1163,0
1983,8,10,8.07,0.1163,0
1983,8,11,6.9,0.1163,19.33
1983,8,12,9.64,0.1163,21.477
1983,8,13,59.74,0.1163,0.616
1983,8,14,12.25,0.1163,1.255
1983,8,15,8.98,0.1163,0.325
1983,8,16,12.25,0.1163,4.788
1983,8,17,14.09,0.1163,2.431
1983,8,18,11.65,0.1163,0.138
1983,8,19,13.97,0.1163,144.045
1983,8,20,2274.39,0.1163,158.625
1983,8,21,132.6,0.1163,6.665
1983,8,22,62.59,0.1163,4.536
1983,8,23,32.75,0.1163,0.064
1983,8,24,29.32,0.1163,2.357
1983,8,25,28.49,0.1163,13.879
1983,8,26,43.67,0.1163,0.2
1983,8,27,261.98,0.1163,22.928
1983,8,28,43.91,0.1163,35.701
1983,8,29,306.05,0.1163,25.505
1983,8,30,266.83,0.1163,18.568
1983,8,31,66.97,0.1163,15.945
1983,9,1,63.65,0.1163,12.977
1983,9,2,70.84,0.1163,43.698
1983,9,3,174.54,0.1194,29.676
1983,9,4,125.53,0.1194,16.904
1983,9,5,108,0.1194,11.78
1983,9,6,77.03,0.1194,36.275
1983,9,7,130.47,0.1194,41.332
1983,9,8,271.54,0.1194,68.339
1983,9,9,275.6,0.1194,23.461
1983,9,10,79.19,0.1194,1.278
1983,9,11,67.34,0.1194,0
1983,9,12,39.95,0.1194,0
1983,9,13,29.57,0.1194,1.965
1983,9,14,23.79,0.1194,31.547
1983,9,15,50.07,0.1194,1.268
1983,9,16,32.58,0.1194,12.435
1983,9,17,37.45,0.1194,2.772
1983,9,18,30.47,0.1194,2.014
1983,9,19,25.16,0.1194,3.03
1983,9,20,19.57,0.1194,2.392
1983,9,21,19.87,0.1194,0.204
1983,9,22,12.59,0.1194,0
1983,9,23,12.48,0.1194,3.595
1983,9,24,18.07,0.1194,3.204
1983,9,25,12.87,0.1194,4.63
1983,9,26,15.93,0.1194,11.539
1983,9,27,78.06,0.1194,0
1983,9,28,12.45,0.1194,0.1
1983,9,29,11.6,0.1194,11.965
1983,9,30,51.35,0.1194,9.439
1983,10,1,19.57,0.1531,2.83
1983,10,2,23.09,0.1531,0.63
1983,10,3,15.67,0.1531,0.72
1983,10,4,11.74,0.1531,0
1983,10,5,9.68,0.1531,0
1983,10,6,8.68,0.1531,0
1983,10,7,7.96,0.1531,0
1983,10,8,8.06,0.1531,0
1983,10,9,7.59,0.1531,1.647
1983,10,10,7.12,0.1531,3.56
1983,10,11,7.49,0.1531,0
1983,10,12,7.67,0.1531,0
1983,10,13,7.51,0.1531,0
1983,10,14,7.45,0.1531,0
1983,10,15,7.38,0.1531,0
1983,10,16,7.53,0.1531,0
1983,10,17,7.31,0.1531,0
1983,10,18,7.4,0.1531,0
1983,10,19,7.29,0.1531,0
1983,10,20,7.25,0.1531,0
1983,10,21,7.23,0.1531,0
1983,10,22,7.16,0.1531,0
1983,10,23,7.1,0.1531,0
1983,10,24,7.05,0.1531,0
1983,10,25,7.02,0.1531,0
1983,10,26,7.02,0.1531,0
1983,10,27,7.02,0.1531,0
1983,10,28,7.02,0.1531,0
1983,10,29,7.02,0.1334,0
1983,10,30,6.7,0.1334,0
1983,10,31,6.58,0.1334,0
1984,6,1,-1,0.5281,0
1984,6,2,-1,0.5281,0
1984,6,3,-1,0.5281,0.85
1984,6,4,-1,0.3313,0.8
1984,6,5,-1,0.3313,0
1984,6,6,-1,0.3313,5.01
1984,6,7,-1,0.3313,18.594
1984,6,8,-1,0.3313,3.72
1984,6,9,-1,0.3313,1.024
1984,6,10,-1,0.3313,1.198
1984,6,11,-1,0.2219,5.82
1984,6,12,-1,0.2219,39.774
1984,6,13,-1,0.2219,4.51
1984,6,14,-1,0.2219,4.291
1984,6,15,-1,0.2219,12.708
1984,6,16,15.79,0.2219,0
1984,6,17,9.91,0.2219,0
1984,6,18,8.82,0.3562,0
1984,6,19,6.9,0.3562,0
1984,6,20,6.9,0.3562,0
1984,6,21,6.43,0.3562,0
1984,6,22,6.43,0.3562,0
1984,6,23,6.15,0.3562,0
1984,6,24,6.1,0.3562,0
1984,6,25,6.05,0.2906,0
1984,6,26,6.03,0.2906,0
1984,6,27,6.03,0.2906,0
1984,6,28,6.03,0.2906,0
